"date","time","sensor_41","datetime"
2012-03-08,"0000",131,2012-03-08
2012-03-09,"0000",125,2012-03-09
2012-03-10,"0000",122,2012-03-10
2012-03-11,"0000",127,2012-03-11
2012-03-12,"0000",128,2012-03-12
2012-03-13,"0000",133,2012-03-13
2012-03-14,"0000",521,2012-03-14
2012-03-15,"0000",1273,2012-03-15
2012-03-16,"0000",1680,2012-03-16
2012-03-17,"0000",4520,2012-03-17
2012-03-18,"0000",2552,2012-03-18
2012-03-19,"0000",1573,2012-03-19
2012-03-20,"0000",999,2012-03-20
2012-03-21,"0000",NA,2012-03-21
2012-03-22,"0000",NA,2012-03-22
2012-03-23,"0000",772,2012-03-23
2012-03-24,"0000",725,2012-03-24
2012-03-25,"0000",710,2012-03-25
2012-03-26,"0000",694,2012-03-26
2012-03-27,"0000",611,2012-03-27
2012-03-28,"0000",1014,2012-03-28
2012-03-29,"0000",1041,2012-03-29
2012-03-30,"0000",805,2012-03-30
2012-03-31,"0000",906,2012-03-31
2012-04-01,"0000",1617,2012-04-01
2012-04-02,"0000",1191,2012-04-02
2012-04-03,"0000",946,2012-04-03
2012-04-04,"0000",912,2012-04-04
2012-04-05,"0000",844,2012-04-05
2012-04-06,"0000",741,2012-04-06
2012-04-07,"0000",660,2012-04-07
2012-04-08,"0000",597,2012-04-08
2012-04-09,"0000",549,2012-04-09
2012-04-10,"0000",519,2012-04-10
2012-04-11,"0000",589,2012-04-11
2012-04-12,"0000",922,2012-04-12
2012-04-13,"0000",3738,2012-04-13
2012-04-14,"0000",2106,2012-04-14
2012-04-15,"0000",1249,2012-04-15
2012-04-16,"0000",970,2012-04-16
2012-04-17,"0000",859,2012-04-17
2012-04-18,"0000",854,2012-04-18
2012-04-19,"0000",895,2012-04-19
2012-04-20,"0000",947,2012-04-20
2012-04-21,"0000",1006,2012-04-21
2012-04-22,"0000",1014,2012-04-22
2012-04-23,"0000",1039,2012-04-23
2012-04-24,"0000",1120,2012-04-24
2012-04-25,"0000",1097,2012-04-25
2012-04-26,"0000",1674,2012-04-26
2012-04-27,"0000",2138,2012-04-27
2012-04-28,"0000",1535,2012-04-28
2012-04-29,"0000",1317,2012-04-29
2012-04-30,"0000",1130,2012-04-30
2012-05-01,"0000",1006,2012-05-01
2012-05-02,"0000",910,2012-05-02
2012-05-03,"0000",808,2012-05-03
2012-05-04,"0000",734,2012-05-04
2012-05-05,"0000",653,2012-05-05
2012-05-06,"0000",596,2012-05-06
2012-05-07,"0000",542,2012-05-07
2012-05-08,"0000",500,2012-05-08
2012-05-09,"0000",467,2012-05-09
2012-05-10,"0000",447,2012-05-10
2012-05-11,"0000",410,2012-05-11
2012-05-12,"0000",382,2012-05-12
2012-05-13,"0000",366,2012-05-13
2012-05-14,"0000",348,2012-05-14
2012-05-15,"0000",333,2012-05-15
2012-05-16,"0000",314,2012-05-16
2012-05-17,"0000",294,2012-05-17
2012-05-18,"0000",269,2012-05-18
2012-05-19,"0000",246,2012-05-19
2012-05-20,"0000",224,2012-05-20
2012-05-21,"0000",205,2012-05-21
2012-05-22,"0000",191,2012-05-22
2012-05-23,"0000",177,2012-05-23
2012-05-24,"0000",168,2012-05-24
2012-05-25,"0000",159,2012-05-25
2012-05-26,"0000",163,2012-05-26
2012-05-27,"0000",172,2012-05-27
2012-05-28,"0000",182,2012-05-28
2012-05-29,"0000",166,2012-05-29
2012-05-30,"0000",150,2012-05-30
2012-05-31,"0000",135,2012-05-31
2012-06-01,"0000",129,2012-06-01
2012-06-02,"0000",122,2012-06-02
2012-06-03,"0000",115,2012-06-03
2012-06-04,"0000",112,2012-06-04
2012-06-05,"0000",158,2012-06-05
2012-06-06,"0000",181,2012-06-06
2012-06-07,"0000",144,2012-06-07
2012-06-08,"0000",126,2012-06-08
2012-06-09,"0000",92,2012-06-09
2012-06-10,"0000",89,2012-06-10
2012-06-11,"0000",102,2012-06-11
2012-06-12,"0000",96,2012-06-12
2012-06-13,"0000",91,2012-06-13
2012-06-14,"0000",88,2012-06-14
2012-06-15,"0000",83,2012-06-15
2012-06-16,"0000",79,2012-06-16
2012-06-17,"0000",76,2012-06-17
2012-06-18,"0000",74,2012-06-18
2012-06-19,"0000",71,2012-06-19
2012-06-20,"0000",68,2012-06-20
